Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2014-10-19T22:25:04.566 ,1,0.004259521499173787,-1.6868765910795243,FoVP,-0.541264674222575,0.7103961917384229,2456950.4323866717
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2014-11-15T16:16:56.338 ,3,3.926322574550568E-4,2.8894328845606796,FoVP,0.7006032144920352,0.7068538450061123,2456977.178889183
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2014-11-15T18:03:30.563 ,1,0.005686297294519105,2.8879703275922726,FoVF,0.701213747763588,0.7063765416578902,2456977.2529027476
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2014-12-11T16:03:53.632 ,3,4.188216942563742E-5,-2.1228407873604946,FoVP,-0.641250528262453,0.7034065005645084,2457003.1720275665
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2015-05-03T23:55:04.666 ,2,0.0026998553370741725,-0.13040070864408593,FoVP,0.6750499896655875,0.7212051521007878,2457146.4989419132
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2015-06-01T19:26:30.516 ,1,0.00639073739438452,1.1355953728081174,FoVF,-0.7043083769608202,0.7209147109184527,2457175.3100385754
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2015-06-01T23:40:10.546 ,6,-0.005040032839144798,1.130698490781187,FoVP,-0.701641366066347,0.7229367754495699,2457175.486181855
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2015-06-28T05:37:25.060 ,4,-0.001474290573723728,-0.5122531189331961,FoVP,0.50242804064862,0.7265453453983706,2457201.7322803834
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2015-06-28T07:23:59.274 ,3,0.0021110676550941372,-0.5160179637570671,FoVF,0.5042359868317182,0.7246804486151476,2457201.8062825464
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2015-10-30T23:35:19.727 ,5,-0.0020301454680159764,-1.7299653800049353,FoVP,-0.6338264034322744,0.7119122897676147,2457326.4820178463
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2015-11-29T23:14:08.360 ,3,-3.590107096223696E-5,2.7606439084876184,FoVP,0.69657767571733,0.7067689306794644,2457356.469831483
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2015-11-30T01:00:42.567 ,1,0.005473147393647882,2.7610287067206727,FoVF,0.6957205424478006,0.7074233859140455,2457356.543844789
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2015-12-21T18:55:50.100 ,4,0.001049969125765284,-2.295672752911769,FoVF,-0.5617089298946493,0.7062248289601246,2457378.292213473
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2016-03-25T19:50:56.976 ,6,-0.003868350349646008,0.8398365879544347,FoVP,0.18725486857129847,0.7056296764374269,2457473.332030738
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2016-03-25T21:37:31.229 ,5,-0.0013756709901676005,0.8446261643809572,FoVF,0.18311859805256864,0.7073577901299666,2457473.4060346344
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2016-03-26T01:51:11.188 ,1,0.004423268911224721,0.8560942841580333,FoVP,0.1731793690030576,0.7113837004391124,2457473.582182835
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2016-03-26T03:37:45.304 ,1,0.006802308785506172,0.8609403774805268,FoVF,0.16896439392762466,0.7130375347243793,2457473.6561851264
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2016-04-03T09:43:48.635 ,3,0.0034699359615954807,1.4391601331295771,FoVF,-0.36705195356477704,0.712345037192738,2457481.9099405003
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2016-04-03T13:57:28.642 ,5,-0.00287667283050263,1.4502619705591042,FoVP,-0.377402285165365,0.7085305726741767,2457482.086087577
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2016-05-14T01:03:12.234 ,2,0.001846582786597503,-0.25649734964986415,FoVP,0.7128420988128773,0.7205888725744034,2457522.545383732
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2016-06-16T18:40:42.808 ,2,0.0025897998282672953,0.9146211359242863,FoVP,-0.6118688193874522,0.7214922089089518,2457556.2770214607
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2016-06-16T20:27:17.026 ,5,-0.001141594004499656,0.9109917731127991,FoVF,-0.6095477861532356,0.722946954406744,2457556.351023085
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2016-07-08T00:47:32.471 ,5,-0.0032491797061736595,-0.48803386698206114,FoVP,0.34505503663577775,0.726206210093494,2457577.5303486073
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2016-07-08T02:34:06.652 ,5,-5.732664260121473E-4,-0.49249003347580717,FoVF,0.34726805166900754,0.7245115348338143,2457577.6043511145
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2016-11-09T20:31:36.671 ,2,0.004091665746296473,-1.790466556448385,FoVF,-0.69185788892423,0.7094329268942233,2457702.355321409
J110217.48+411315.4,2.889791209877769,0.7194412982999568,11:02:17.482,+41:13:15.420,2016-12-13T00:10:21.928 ,4,-0.0017889015902849417,2.6723287971400635,FoVP,0.6330741988160046,0.7063803135784699,2457735.5100276344
