Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2014-10-10T10:12:22.876 ,2,0.005238827958224319,-0.27916168172277595,FoVF,0.38210367350730634,0.7121151566141846,2456940.922758048
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2015-02-22T21:27:21.558 ,4,-0.0018187804368918234,-2.2161747945952324,FoVP,-0.695755848588277,0.7041712559378559,2457076.394372895
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2015-03-29T04:42:35.137 ,7,-0.004231241027529022,2.694009408513555,FoVF,0.5328582797805778,0.7072378167191734,2457110.6999711962
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2015-03-29T08:56:15.160 ,1,0.003978865163260193,2.703871278142453,FoVP,0.5252473809241661,0.7111644518383733,2457110.8761446173
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2015-04-12T10:50:14.648 ,3,0.002768871215228339,-2.6145042455318226,FoVF,-0.22028499561885154,0.7137659984212299,2457124.956468603
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2015-04-12T15:03:54.684 ,5,-0.0036088522725339074,-2.6034899852819713,FoVP,-0.22720984708382078,0.7094838577479383,2457125.132639643
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2015-08-31T03:57:13.163 ,7,-0.006878571915053857,-0.6340810014709982,FoVP,0.7213935727368094,0.7229769666644044,2457265.66600205
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2015-08-31T05:43:47.378 ,6,-0.0016191926612019278,-0.633727368188525,FoVF,0.7212195197446671,0.7231889526181949,2457265.7400018186
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2015-10-07T23:06:49.905 ,2,0.0046409548596060505,0.7590546215043756,FoVF,-0.4379275373585526,0.7124313472178815,2457303.4607900516
alpha Sco,4.317105335193535,-0.4613254734751414,16:29:24.460,-26:25:55.209,2015-10-08T03:20:29.983 ,4,-0.0015575307749433605,0.7478505443808078,FoVP,-0.42874792418108754,0.7159287612926246,2457303.6369339433
