Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2014-10-06T18:07:17.357 ,1,0.005868804860991999,2.807683549258401,FoVF,-0.7054910120580967,0.7167068342630556,2456937.256652051
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2014-10-06T22:20:57.374 ,7,-0.006885057882975557,2.806638298537555,FoVP,-0.7066265348109118,0.7153397532911052,2456937.4328165636
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2014-11-12T23:12:55.489 ,6,-0.003063672118528709,0.6743770571925116,FoVF,0.6331179605388552,0.7062570182357093,2456974.4701346555
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2014-12-01T23:12:12.008 ,1,0.005825032484038523,1.7491946126144187,FoVF,-0.5893191195838992,0.7074240883358468,2456993.469993787
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2014-12-02T03:25:52.032 ,7,-0.006565227225733372,1.7536018561761568,FoVP,-0.5946584263154184,0.7026863889403187,2456993.646153748
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-01-10T02:11:52.258 ,2,0.0027919792365376237,-0.40361890676965867,FoVP,0.593792011873303,0.7006845935740533,2457032.594737777
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-01-29T02:10:45.369 ,3,0.0013308266756673402,0.6735064511145721,FoVP,-0.6274650538003145,0.7047326626161143,2457051.593576522
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-01-29T03:57:19.584 ,7,-0.004026641080019485,0.6749015225160879,FoVF,-0.6294697653680326,0.7031004103036691,2457051.6675817203
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-03-06T15:03:23.168 ,6,-0.0023684060555257385,-1.4621914447660005,FoVF,0.7011366402251767,0.7046003401322298,2457088.1288815825
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-04-03T19:01:54.501 ,1,0.004423064618313714,-0.35058852047865413,FoVP,-0.705432791099964,0.7097466822447551,2457116.2933807825
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-04-03T20:48:28.723 ,5,-5.778232829248514E-4,-0.3525596507312387,FoVF,-0.7048495267245773,0.7102763816318809,2457116.367385048
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-05-05T12:45:23.554 ,3,2.178677437717341E-4,-2.388892749227502,FoVP,0.6513448593389375,0.7210729168838855,2457148.0308004217
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-05-05T14:31:57.789 ,2,0.004522324918794748,-2.3919531545311967,FoVF,0.6525939511403046,0.7198289685218675,2457148.1048056516
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-06-14T06:22:44.323 ,3,5.071013153956022E-4,-1.6614534715845686,FoVP,-0.5991819948624112,0.7220351586398679,2457187.764390293
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-06-14T08:09:18.516 ,6,-0.0030204719962704956,-1.6652791503179902,FoVF,-0.5973786034861988,0.7235152470890742,2457187.838396834
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-07-13T06:22:24.902 ,2,0.002941393276456747,2.7077888054682853,FoVP,0.6150435092331695,0.7271774438923037,2457216.7643352696
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-07-13T08:08:59.172 ,1,0.0066118735058116425,2.7041151002672876,FoVF,0.6168312982573229,0.7257732623119465,2457216.83834414
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-08-20T01:46:46.886 ,3,0.0034671846970069963,-2.7431542330225898,FoVF,-0.6910470138708734,0.7235651675895779,2457254.5738918763
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-09-22T11:36:07.331 ,4,-0.00107439086653137,1.4704873252378006,FoVP,0.7187301635804236,0.7189776008069116,2457287.984448439
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-09-22T13:22:41.547 ,2,0.004138139619245742,1.4693701960306345,FoVF,0.7186963510108529,0.7189861244281858,2457288.0584585764
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-10-18T13:11:46.910 ,4,2.7865260434249787E-4,2.612045829480722,FoVF,-0.6912303637598681,0.713128870408646,2457314.0518995975
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-11-25T10:24:23.810 ,3,5.092382339721615E-4,0.4734627685509858,FoVP,0.6066398113120605,0.7072440217798307,2457351.9367161994
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-11-25T12:10:58.000 ,1,0.005692419120740938,0.47533876424073684,FoVF,0.6042813040516832,0.7091328517596077,2457352.0107243126
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2015-12-13T12:11:20.874 ,4,4.96988612074123E-4,1.5250291699496683,FoVF,-0.5783408497732141,0.7071572712161281,2457370.0111937243
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2016-01-21T09:11:55.153 ,2,0.0020753549767678946,-0.6291870451372521,FoVP,0.617536400529867,0.6992716428621631,2457408.8862623232
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2016-02-10T16:55:21.804 ,3,0.002413207139870866,0.4756575778507665,FoVF,-0.6543296125461197,0.7072437177088003,2457429.207547807
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2016-03-17T08:22:14.679 ,6,-0.003987076081283692,-1.6504580237820823,FoVP,0.7086798907229643,0.7064411682497593,2457464.8498682547
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2016-03-17T10:08:48.884 ,4,0.001324888232713862,-1.6515680160224897,FoVF,0.708634632845264,0.7065164208203196,2457464.9238722273
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2016-04-16T21:50:52.288 ,2,0.004682266829965568,-0.586759101383798,FoVF,-0.6886059431724775,0.7113095467477797,2457495.4102101256
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2016-04-17T02:04:32.288 ,7,-0.006364654207177791,-0.5930095704511023,FoVP,-0.686094754970505,0.7135095821166347,2457495.5863611884
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2016-05-17T13:53:55.279 ,6,-0.005131891799469415,-2.5839632182488663,FoVP,0.62337626170446,0.723482607180293,2457526.0780900526
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2016-05-17T15:40:29.452 ,5,-0.001143785660397488,-2.587377415091649,FoVF,0.6248500897115804,0.7220950508940571,2457526.152095084
polaris,0.6624320498394453,1.5579526053855046,02:31:49.095,+89:15:50.792,2016-06-27T15:17:56.080 ,4,0.0018647373879035025,-1.9152941270514607,FoVF,-0.5997223759230094,0.7217429523822723,2457567.136083559
